gameid,date,game_num,blue,red,url
LOLTMNT05_146170,2025-08-04 15:08:13,1,SK Gaming,Fnatic,
LOLTMNT05_146172,2025-08-04 15:53:27,2,SK Gaming,Fnatic,
LOLTMNT05_145155,2025-08-04 16:50:58,1,GiantX,Team Vitality,
LOLTMNT05_145156,2025-08-04 17:41:10,2,Team Vitality,GiantX,
LOLTMNT05_146696,2025-08-09 15:08:27,1,G2 Esports,Team Heretics,
LOLTMNT05_146700,2025-08-09 16:04:34,2,G2 Esports,Team Heretics,
LOLTMNT05_146705,2025-08-09 16:57:02,1,Movistar KOI,GiantX,
LOLTMNT05_145693,2025-08-09 17:54:11,2,Movistar KOI,GiantX,
LOLTMNT05_146708,2025-08-09 18:41:39,3,GiantX,Movistar KOI,
LOLTMNT05_146756,2025-08-10 15:12:55,1,Fnatic,Team BDS,
LOLTMNT05_146759,2025-08-10 16:01:53,2,Fnatic,Team BDS,
LOLTMNT05_146760,2025-08-10 16:57:30,1,Karmine Corp,Movistar KOI,
LOLTMNT05_146765,2025-08-10 17:46:47,2,Movistar KOI,Karmine Corp,
LOLTMNT05_145755,2025-08-10 18:36:14,3,Karmine Corp,Movistar KOI,
LOLTMNT06_133372,2025-08-16 15:07:19,1,Movistar KOI,Natus Vincere,
LOLTMNT06_133374,2025-08-16 16:02:38,2,Natus Vincere,Movistar KOI,
LOLTMNT06_132374,2025-08-16 17:12:08,1,Team Heretics,SK Gaming,
LOLTMNT06_133390,2025-08-16 18:11:57,2,Team Heretics,SK Gaming,
LOLTMNT06_132386,2025-08-16 19:06:52,3,SK Gaming,Team Heretics,
LOLTMNT06_132462,2025-08-17 15:08:19,1,Team Vitality,Natus Vincere,
LOLTMNT06_132463,2025-08-17 15:57:36,2,Natus Vincere,Team Vitality,
LOLTMNT06_132464,2025-08-17 16:49:42,1,Fnatic,G2 Esports,
LOLTMNT06_133477,2025-08-17 17:39:11,2,Fnatic,G2 Esports,
LOLTMNT06_133504,2025-08-18 15:11:01,1,Karmine Corp,Team Vitality,
LOLTMNT06_133506,2025-08-18 15:56:20,2,Karmine Corp,Team Vitality,
LOLTMNT06_133510,2025-08-18 16:49:30,3,Karmine Corp,Team Vitality,
LOLTMNT06_133511,2025-08-18 17:51:49,1,G2 Esports,Team BDS,
LOLTMNT06_133519,2025-08-18 18:48:23,2,G2 Esports,Team BDS,
LOLTMNT06_134147,2025-08-25 15:08:07,1,SK Gaming,G2 Esports,
LOLTMNT06_133782,2025-08-25 15:54:14,2,G2 Esports,SK Gaming,
LOLTMNT06_133790,2025-08-25 16:51:10,1,Team BDS,Team Heretics,
LOLTMNT06_134153,2025-08-25 17:47:22,2,Team Heretics,Team BDS,
LOLTMNT06_134158,2025-08-25 18:48:43,3,Team Heretics,Team BDS,
LOLTMNT06_133844,2025-08-26 15:11:14,1,Team Vitality,Movistar KOI,
LOLTMNT06_133849,2025-08-26 16:15:45,2,Movistar KOI,Team Vitality,
LOLTMNT06_133856,2025-08-26 17:09:46,1,Natus Vincere,GiantX,
LOLTMNT06_133858,2025-08-26 18:09:54,2,Natus Vincere,GiantX,
LOLTMNT04_130187,2025-09-05 15:09:47,1,Team Heretics,Team Vitality,
LOLTMNT04_129223,2025-09-05 16:13:02,2,Team Vitality,Team Heretics,
LOLTMNT04_129231,2025-09-05 17:03:14,3,Team Heretics,Team Vitality,
