gameid,date,game_num,blue,red,url
LOLTMNT05_146637,2025-08-08 20:07:52,2,Joblife,Gentle Mates,
LOLTMNT05_145926,2025-08-13 16:08:40,1,Galions,Vitality.Bee,
LOLTMNT05_146937,2025-08-13 17:13:55,2,Vitality.Bee,Galions,
LOLTMNT05_145940,2025-08-13 18:11:38,3,Galions,Vitality.Bee,
LOLTMNT05_145942,2025-08-13 19:21:56,1,Solary,Gentle Mates,
LOLTMNT05_146944,2025-08-13 20:23:03,2,Gentle Mates,Solary,
LOLTMNT05_146990,2025-08-14 16:06:11,1,Team BDS Academy,Joblife,
LOLTMNT05_146987,2025-08-14 16:06:24,1,Vitality.Bee,BK ROG Esports,
LOLTMNT05_148002,2025-08-14 16:58:37,2,Joblife,Team BDS Academy,
LOLTMNT05_148005,2025-08-14 17:26:06,2,BK ROG Esports,Vitality.Bee,
LOLTMNT05_148011,2025-08-14 17:50:48,1,GameWard,Karmine Corp Blue,
LOLTMNT05_147017,2025-08-14 18:20:46,3,Vitality.Bee,BK ROG Esports,
LOLTMNT05_147019,2025-08-14 18:43:33,2,GameWard,Karmine Corp Blue,
LOLTMNT05_148016,2025-08-14 19:12:39,1,Ici Japon Corp. Esport,Gentle Mates,
LOLTMNT05_148018,2025-08-14 19:57:20,2,Ici Japon Corp. Esport,Gentle Mates,
LOLTMNT05_147025,2025-08-14 20:44:09,3,Gentle Mates,Ici Japon Corp. Esport,
LOLTMNT05_147135,2025-08-15 16:03:54,1,GameWard,Joblife,
LOLTMNT05_148151,2025-08-15 17:01:06,2,GameWard,Joblife,
LOLTMNT05_147147,2025-08-15 17:50:46,3,Joblife,GameWard,
LOLTMNT05_148158,2025-08-15 18:44:35,1,Karmine Corp Blue,Team BDS Academy,
LOLTMNT05_147151,2025-08-15 19:39:45,2,Team BDS Academy,Karmine Corp Blue,
LOLTMNT06_133557,2025-08-20 16:08:46,1,Solary,Team BDS Academy,
LOLTMNT06_133568,2025-08-20 17:07:17,2,Solary,Team BDS Academy,
LOLTMNT06_132551,2025-08-20 18:16:58,1,Karmine Corp Blue,Galions,
LOLTMNT06_133579,2025-08-20 19:18:10,2,Karmine Corp Blue,Galions,
LOLTMNT06_132558,2025-08-20 20:09:20,3,Galions,Karmine Corp Blue,
LOLTMNT06_133605,2025-08-21 16:06:19,1,Galions,Joblife,
LOLTMNT06_132601,2025-08-21 17:07:48,2,Joblife,Galions,
LOLTMNT06_132605,2025-08-21 18:06:10,1,Karmine Corp Blue,Vitality.Bee,
LOLTMNT06_133637,2025-08-21 19:06:23,1,BK ROG Esports,Ici Japon Corp. Esport,
LOLTMNT06_133638,2025-08-21 19:08:11,2,Karmine Corp Blue,Vitality.Bee,
LOLTMNT06_133640,2025-08-21 20:00:54,2,BK ROG Esports,Ici Japon Corp. Esport,
LOLTMNT06_133641,2025-08-21 20:12:11,3,Karmine Corp Blue,Vitality.Bee,
LOLTMNT06_133642,2025-08-21 20:54:42,3,Ici Japon Corp. Esport,BK ROG Esports,
LOLTMNT06_133678,2025-08-22 16:06:36,1,Team BDS Academy,Ici Japon Corp. Esport,
LOLTMNT06_134043,2025-08-22 17:01:48,2,Ici Japon Corp. Esport,Team BDS Academy,
LOLTMNT06_134049,2025-08-22 17:51:10,1,Gentle Mates,BK ROG Esports,
LOLTMNT06_134055,2025-08-22 18:42:28,2,BK ROG Esports,Gentle Mates,
LOLTMNT06_134059,2025-08-22 19:32:51,3,Gentle Mates,BK ROG Esports,
LOLTMNT06_136012,2025-08-27 16:06:14,1,Solary,GameWard,
LOLTMNT06_137010,2025-08-27 16:54:39,2,GameWard,Solary,
LOLTMNT06_136026,2025-08-27 17:56:04,1,BK ROG Esports,Karmine Corp Blue,
LOLTMNT06_136027,2025-08-27 18:55:11,2,BK ROG Esports,Karmine Corp Blue,
LOLTMNT06_137088,2025-08-28 16:09:46,1,Gentle Mates,Team BDS Academy,
LOLTMNT06_137105,2025-08-28 17:17:46,2,Gentle Mates,Team BDS Academy,
LOLTMNT06_137107,2025-08-28 18:23:09,1,Joblife,Vitality.Bee,
LOLTMNT06_136142,2025-08-28 19:37:16,2,Vitality.Bee,Joblife,
LOLTMNT06_136144,2025-08-28 20:25:00,3,Joblife,Vitality.Bee,
LOLTMNT06_136179,2025-08-29 16:09:19,1,Ici Japon Corp. Esport,GameWard,
LOLTMNT06_136183,2025-08-29 17:00:22,2,GameWard,Ici Japon Corp. Esport,
LOLTMNT06_137155,2025-08-29 18:06:55,1,Galions,Solary,
LOLTMNT06_136189,2025-08-29 18:59:31,2,Solary,Galions,
LOLTMNT04_129119,2025-09-02 16:07:58,1,Gentle Mates,Solary,
